"station1","station2","line","time"
151,259,9,1
167,188,9,1
169,240,9,4
191,245,9,3
257,258,9,2
261,302,9,3
288,302,9,1
1,73,10,2
1,234,10,4
1,265,10,3
5,194,10,3
5,252,10,2
9,31,10,3
9,232,10,3
10,95,10,2
10,128,10,1
17,74,10,3
17,110,10,2
30,176,10,2
30,190,10,3
31,303,10,2
39,128,10,2
39,145,10,5
57,187,10,4
60,126,10,1
60,151,10,1
73,182,10,3
74,99,10,2
75,210,10,2
75,222,10,2
95,160,10,2
99,236,10,1
107,133,10,2
107,197,10,1
110,265,10,2
116,117,10,3
116,118,10,3
116,132,10,4
117,118,10,5
125,134,10,2
125,271,10,3
126,223,10,2
130,131,10,2
130,132,10,2
131,190,10,2
133,146,10,2
134,220,10,3
145,223,10,2
146,236,10,3
151,197,10,2
160,266,10,3
176,234,10,1
182,194,10,2
187,232,10,3
210,235,10,3
220,222,10,2
235,251,10,2
251,252,10,3
266,303,10,2
26,260,11,2
26,274,11,2
35,245,11,2
89,145,11,2
89,277,11,1
95,123,11,2
95,224,11,4
107,192,11,2
107,273,11,2
123,145,11,4
192,277,11,2
198,272,11,1
198,273,11,3
224,260,11,3
245,272,11,3
13,279,12,4
